UserID,MovieID,Rating
31289,1044,9
5491,1527,8
14461,2014,8
10656,2219,4
31498,1817,9
35433,1582,3
15025,845,4
30162,2397,7
499,2252,8
35090,2419,8
28397,1532,8
11710,913,7
21310,49,8
7648,73,8
27714,1052,9
28634,819,7
35077,222,9
34867,2287,6
11278,7,0
34283,2063,2
20828,886,7
26146,1331,8
3692,2015,8
11722,1162,7
15648,56,9
36043,486,4
31289,1817,9
29739,512,7
31973,1544,4
15737,81,8
18387,1544,8
29183,1049,8
33359,1582,8
34607,1576,8
14375,7,7
12120,22,7
13619,1830,8
15737,1038,0
34737,1591,9
11525,2015,8
32792,2403,8
29400,2015,1
24836,22,5
10453,913,9
8464,2429,4
31078,2019,9
15121,889,9
35320,1112,7
30691,1454,0
18462,1215,8
35152,606,7
33949,1218,8
24942,723,0
22737,224,9
35434,1137,10
35461,1706,0
24542,608,7
11771,1069,9
16768,1534,5
8355,1958,0
33454,1858,5
24765,2389,9
8361,2378,0
11966,2490,5
12822,1463,6
23487,2302,8
19511,2306,9
6550,792,5
34360,1907,6
27978,444,6
1077,391,7
11475,222,7
33339,527,0
11052,1525,8
21216,1682,7
18819,1511,0
9152,2410,8
33955,2410,8
9213,1152,8
19549,1540,5
26465,792,0
18226,20,6
20869,1576,8
32491,192,7
18226,209,7
19280,1668,8
34068,2386,9
35034,2452,8
31473,793,9
35508,444,5
33852,1052,8
23399,3,9
18462,1208,7
26395,1800,0
34422,444,9
27155,1454,9
14486,2493,8
20427,1644,9
34092,792,4
4828,2419,9
35435,1837,4
35335,1220,0
18038,781,0
28033,799,3
34562,497,0
28329,1218,9
4962,1858,0
25789,3,0
18396,22,8
31042,1081,6
12634,1288,8
31746,494,8
1944,880,8
8871,53,8
18820,2333,7
26697,1573,8
11725,398,5
12018,1217,7
13605,522,9
35509,50,5
12240,2403,9
31996,448,7
31311,444,0
8361,2408,8
15721,1519,7
12900,358,8
30769,600,5
35512,821,5
35363,1319,9
4826,499,6
6801,995,7
7384,2320,8
8176,391,7
22305,1454,8
35139,1225,4
33708,437,4
818,2405,7
8657,129,8
19124,1653,8
21027,1848,8
34518,22,8
1383,2256,8
11771,1907,5
7285,213,8
1653,527,7
14819,1218,0
11475,36,8
13982,2057,8
12691,792,6
23076,42,7
30989,2403,8
8450,1220,0
34157,2419,5
26923,494,8
30320,600,0
25134,844,6
11021,2448,8
21968,856,9
15266,1467,0
20558,2307,8
11897,1052,9
19471,398,4
3880,123,9
15742,4,9
13756,2407,9
29005,792,4
19132,1524,8
32683,773,8
32117,214,7
22812,462,7
13203,1112,9
26155,266,3
28102,134,8
21744,42,9
2074,1463,7
22151,2389,0
27434,456,8
19242,2493,0
25722,646,8
26489,1659,8
8819,1462,8
12423,374,7
25160,2377,8
11265,1220,0
20390,2419,7
13178,175,0
17256,2256,9
26473,2410,9
1175,1669,5
16543,1979,7
17728,9,5
16120,1218,9
29702,1343,8
35139,527,8
24275,1319,5
7504,2410,8
22163,799,8
12449,1468,9
21689,398,8
28559,1573,9
19898,792,0
27714,2424,8
24993,1544,8
33831,175,7
34412,792,7
18237,1859,0
7384,2317,8
28362,1929,5
27714,1216,8
17430,2019,9
29466,1220,8
6491,845,0
17487,31,7
17233,793,9
35169,292,5
18773,1463,8
9242,2009,0
15307,1929,8
24936,773,8
21565,781,0
32712,444,9
33801,444,7
35169,1080,8
11448,1783,6
34422,207,8
35559,486,0
34015,1884,9
21848,2403,0
17941,2303,0
20048,1884,3
11594,1152,7
34248,2313,10
34366,247,8
16929,2306,9
24413,2003,9
13493,877,9
32785,2003,9
2440,1544,8
14879,601,8
5428,2057,8
25599,2256,9
35212,512,6
29353,811,4
27074,1232,0
35573,731,7
23050,1544,8
35573,720,6
35213,462,5
33848,497,9
34466,2010,8
22781,1884,8
35296,1884,4
26777,853,10
3433,865,4
12932,255,0
10226,476,8
20029,358,0
28207,2308,4
17700,2408,8
35165,2029,4
33342,1331,8
14436,818,9
34780,1884,8
25043,1510,9
23018,444,8
9433,1524,8
32588,2402,8
7409,1588,3
6684,1531,8
11566,2322,8
31399,444,9
6727,444,9
13044,1519,0
14079,893,5
34447,2493,8
28478,835,9
11137,606,0
13588,1042,9
19589,1989,7
9270,50,8
30302,444,9
7938,1539,8
6755,1862,8
25869,1866,5
27948,2303,8
647,2176,9
27186,223,9
4958,2015,8
16670,222,7
24466,2003,9
17169,1520,6
28643,2405,8
11389,2409,8
19800,1682,8
34262,877,7
23527,2397,8
15083,913,8
19258,2303,5
25022,497,5
13605,1657,0
28596,897,9
22786,773,0
34158,1790,8
33493,1651,9
30462,1906,6
5564,1463,8
214,2016,6
31440,1951,8
13976,444,9
12341,913,7
24801,2493,8
29400,1983,0
12774,792,7
20366,623,7
7135,2014,0
35957,1042,0
24239,821,9
36028,792,0
7439,25,9
26427,720,4
12410,2175,5
34370,228,8
31005,2397,5
35535,2370,0
3802,2397,7
28776,213,5
3568,886,6
34407,1778,6
1456,1875,0
5369,2014,7
28143,2016,8
28494,606,8
33207,1319,5
27455,2316,8
24608,146,0
33900,444,9
31675,1319,8
28502,476,3
24084,2318,8
28683,860,6
18600,22,8
28467,42,9
18163,1986,7
18915,1287,9
31712,1218,9
6293,22,8
13330,845,7
24576,1232,7
12340,2412,9
25101,86,8
30297,1551,8
10149,224,5
34301,444,9
34825,448,7
13218,1841,5
30099,1644,8
34676,1841,5
29158,1782,8
7799,586,9
27222,2313,8
3258,2403,0
28567,880,8
19014,444,3
27684,773,8
30749,819,9
33845,1790,7
6862,1772,8
33582,818,0
29712,1320,6
28973,1544,8
21591,1036,8
35616,1551,6
16590,1790,8
35216,2366,6
30419,2408,8
15048,86,0
31656,818,8
2427,2407,6
9620,213,8
8734,1462,4
4532,1987,9
24993,521,8
19132,1522,6
21677,222,4
22932,792,5
7111,863,8
15953,2366,9
34439,1518,6
6148,854,9
33363,192,5
16349,438,8
31656,1802,9
9392,1968,7
33238,1884,9
18064,1884,3
27901,854,8
27309,880,9
18507,1573,8
31782,2303,9
19735,913,6
10049,2333,8
22399,2010,1
8361,1938,8
30371,1038,5
7595,2226,7
9685,835,10
15212,1983,0
14449,1774,0
33390,51,8
19135,893,8
31545,608,7
34997,792,0
8906,1152,3
23788,1044,5
32219,1519,8
423,263,4
22850,81,8
3812,792,0
1452,2240,7
31437,2424,5
16508,606,8
19436,2419,9
34848,1989,9
35559,600,4
7515,371,8
34095,2313,0
6801,996,9
14418,1152,8
13291,429,7
35320,2389,7
14671,818,0
7496,1152,8
12271,1231,4
18033,1037,0
27723,182,7
24740,2307,8
185,1519,8
23710,42,9
13838,2303,9
32491,606,4
31283,2424,9
33187,835,6
15476,1074,8
14510,549,8
35357,2307,3
28281,1849,8
25429,2386,5
23207,792,0
17948,42,9
21432,799,8
31813,1042,9
17831,2015,8
14677,224,9
24824,968,9
31096,1544,8
19788,1528,4
18002,170,0
19915,2303,9
27661,2408,7
5912,1220,9
16958,1671,9
21638,1319,8
14495,1510,9
2440,481,9
6733,53,0
35001,444,5
17292,448,7
12353,405,8
15569,53,8
35601,448,0
33527,444,7
1495,845,8
33900,2446,7
23487,182,8
35443,853,0
14633,1790,8
17369,509,8
23527,224,9
14142,1152,8
29889,2314,7
35170,1038,5
10730,1332,8
20499,2429,8
10069,536,8
15462,1454,9
35669,2378,6
17113,1216,0
11278,2393,0
34909,1906,0
8726,1958,10
3205,1152,7
25630,1331,8
25248,880,9
29068,2387,7
28713,1232,6
15427,462,6
27749,1708,7
31092,1487,8
30527,10,7
16682,792,0
17628,1140,9
6810,845,4
19041,1669,0
15648,2191,9
13175,792,6
19171,586,0
33504,444,9
19041,91,0
33278,36,7
20474,1983,5
12169,1126,5
11966,1230,4
8271,411,8
35072,2370,8
30529,48,8
22736,2401,8
834,159,8
36336,2333,5
35572,601,9
35332,51,6
21383,31,7
23567,2389,6
3879,1977,7
35332,1329,5
16296,228,8
22393,2252,9
24231,86,8
308,1973,8
35503,1662,4
10210,2019,8
36125,1152,8
17925,1841,8
16788,1644,0
34751,52,6
32420,444,9
28502,886,8
5047,1644,0
16294,1677,5
34493,600,0
17205,2502,6
22213,1216,9
35041,885,9
4885,819,9
2274,856,9
34543,1576,7
35265,792,5
7227,624,8
23353,405,3
35264,1522,6
11842,885,5
28207,1691,5
33103,444,0
33717,1682,8
16508,2381,9
28683,52,6
28927,1540,9
26486,1519,0
32827,7,3
15427,1776,8
24824,979,8
25691,1659,6
28329,1682,8
35474,3,0
32707,320,6
26552,3,5
28806,1068,7
6970,398,5
19182,2517,1
34360,1650,8
24413,360,8
32771,890,9
16153,1137,8
28367,23,0
11654,2014,4
32707,1849,4
4124,2370,8
3284,169,8
13026,1176,0
34426,1884,9
27287,134,8
34965,836,0
35805,486,4
15025,150,7
18596,551,5
17430,438,8
12218,53,6
36228,792,5
21441,2397,8
34776,1319,9
11000,31,7
17118,1532,7
31973,1454,6
3231,77,6
34397,1036,8
30186,444,9
34397,2175,7
21268,29,0
4934,1819,0
13841,2386,9
9049,821,3
19062,1524,0
34627,1519,8
3730,792,8
34943,1645,7
30514,2121,8
34943,444,9
35158,2240,0
17657,792,0
31441,448,4
19062,1526,4
33964,1987,6
20421,444,6
28525,86,8
9584,1225,9
5972,2333,6
33238,2389,9
7227,127,9
18291,1216,9
33049,1952,5
18638,444,5
25116,1884,8
19356,2401,7
12797,1225,8
13193,2083,9
655,635,7
19732,835,7
349,322,0
9833,444,6
25631,1544,7
31448,1579,8
34710,2394,9
6057,2450,7
19036,1042,3
30864,832,5
34397,1561,6
29437,818,0
18491,2227,8
34202,560,0
31529,1849,8
25698,53,3
13235,291,8
602,885,9
34027,623,5
31108,2327,5
26486,2395,8
14677,1708,0
13795,792,3
35505,2314,10
32136,213,4
19110,1817,6
35366,2410,8
13938,2204,4
24441,792,4
17076,600,0
20575,444,9
34865,1316,0
13030,3,8
11854,550,8
5945,792,0
16720,1216,9
32094,2107,9
12423,444,5
20119,2333,5
17668,262,9
18915,1989,9
21748,2304,8
12423,1702,7
9716,97,9
9017,864,7
35284,1884,8
6171,886,9
6005,1220,0
19732,1320,6
34934,1884,7
35481,2408,0
19819,1790,7
14479,22,4
27716,1283,8
21146,444,9
22353,1778,8
1069,793,6
10434,799,4
19898,2256,0
11529,792,5
19898,2253,0
2844,1644,8
17010,448,0
34436,2313,8
24824,970,9
28577,913,7
19091,1986,8
29509,22,8
15405,1849,7
26367,1683,8
32237,1137,6
27826,2409,5
18316,1933,5
21035,2424,8
8006,1489,7
11254,1783,8
26508,2308,8
31120,2370,6
16229,2015,7
34692,773,1
11009,880,9
31549,859,4
8070,1707,0
35419,600,4
30561,877,8
33750,128,7
23276,5,8
14523,1983,6
36087,81,7
33315,792,3
16485,792,5
30105,1529,8
27657,1884,9
30994,444,9
25480,2385,6
33437,1819,5
12,499,0
34901,2381,0
15564,264,4
26108,1849,7
13171,1244,7
32904,1906,7
35839,1790,6
27150,444,8
33293,606,6
33070,1081,6
14724,399,8
19362,803,5
15121,1884,7
14577,2249,0
30874,792,0
31472,147,7
25914,1790,6
17018,1244,7
34366,435,8
6770,2063,8
26811,444,3
27716,1276,5
21622,1331,6
29668,606,8
34366,234,8
21352,7,0
24028,832,9
30749,2389,9
27423,2397,0
29159,606,0
28664,1152,7
11754,606,8
6846,1454,9
21306,2402,0
8160,1510,9
2819,444,6
25153,444,0
13358,2167,6
11525,444,9
13161,1822,0
33783,1953,8
33525,600,4
34845,2016,4
12083,2417,4
8872,2019,9
23018,560,8
18219,1218,9
28008,48,9
832,2352,8
17024,515,5
12690,2381,7
7881,22,4
27865,792,0
28730,1683,4
27766,1684,7
35445,497,4
17464,1232,4
7941,852,9
27766,2428,5
30132,1473,8
11541,146,7
18821,1522,8
17018,1519,8
19728,2390,9
33665,1511,10
34880,3,4
31395,228,8
28020,723,0
26983,159,10
27074,2333,9
25496,2390,8
24612,36,9
12255,448,8
1640,1326,4
7963,448,8
26884,31,4
20846,2417,6
32068,792,0
12749,2502,9
9552,819,9
10432,444,9
15852,1220,0
17496,149,0
24561,1459,8
4170,792,0
16501,1670,8
7805,2059,6
18362,792,0
18167,228,6
34323,16,0
15563,2253,9
260,2291,0
5120,1988,0
18252,2403,8
32222,147,8
4455,1454,6
10314,1884,0
7438,1112,8
33968,444,5
34382,444,9
26263,1218,9
23199,1225,0
5102,1316,8
25829,2256,8
19356,2450,7
35687,792,0
28405,2403,0
35388,792,7
24268,1217,5
9704,606,6
26123,792,0
29022,4,5
16895,880,9
33207,1521,8
19356,2505,6
18462,1214,8
15960,2492,6
15960,2403,8
18439,499,4
27463,2107,8
5256,1152,9
17590,1519,4
35587,1454,10
19526,1217,8
35327,2019,0
35302,2009,6
16677,1036,6
7449,213,4
34331,192,9
14340,527,8
11966,177,8
35225,42,8
30560,1682,8
1456,2378,7
13154,865,5
28645,1681,4
17628,149,8
33779,2502,8
20458,2403,7
11822,2040,7
22517,2253,8
31809,799,8
35159,2403,8
2497,2457,9
27343,1933,4
33285,1220,7
31231,1521,8
3936,1544,7
13661,586,6
4509,499,0
27325,1316,9
35129,195,8
11622,1987,4
19110,2253,0
29644,781,7
16878,832,0
31835,86,0
17324,1523,8
16937,1983,9
8673,207,9
30183,1937,7
6266,1573,8
14583,2249,8
26487,845,6
8868,645,4
5810,1544,5
25429,2302,8
33354,444,9
27704,913,7
34553,2107,5
33125,1042,5
34302,1983,0
34050,1671,9
